Price per cubic foot (LKR),Size (cu.ft),Wood Species,Wood Grade,Location,Building Type
1000,16.52,jak,A,Semi,Structural Framing
291,7.81,ginisapu,C,Indoor,Roofing Components
270,19.46,mango,C,Indoor,Structural Framing
528,19.41,pinewood,B,Indoor,Roofing Components
417,25.38,burutha,C,Semi,Structural Framing
445,17.22,lunumidella,B,Indoor,Roofing Components
470,24.2,burutha,B,Semi,Structural Framing
388,14.27,pinewood,C,Indoor,Roofing Components
681,27.86,jak,B,Semi,Door/window
801,3.9,kempas,C,Semi,Roofing Components
600,5.44,pinewood,A,Indoor,Roofing Components
304,15.47,mango,B,Indoor,Structural Framing
929,19.17,kempas,C,Semi,Door/window
222,10.09,ginisapu,B,Indoor,Door/window
398,21.73,burutha,B,Semi,Door/window
1200,8.45,teak,A,Semi,Structural Framing
387,27.76,lunumidella,B,Semi,Roofing Components
940,8.96,teak,B,Semi,Structural Framing
1731,24.81,microo,B,Indoor,Structural Framing
2000,18.59,microo,A,Indoor,Structural Framing
600,21.69,pinewood,A,Indoor,Roofing Components
472,22.18,pinewood,B,Indoor,Roofing Components
500,24.35,lunumidella,A,Outdoor,Roofing Components
423,12.18,lunumidella,B,Outdoor,Roofing Components
686,4.59,teak,C,Semi,Structural Framing
2000,4.04,microo,A,Indoor,Structural Framing
600,16.77,burutha,A,Semi,Structural Framing
383,29.87,ginisapu,B,Indoor,Roofing Components
1786,10.17,kubuk,B,Outdoor,Structural Framing
342,24.25,lunumidella,C,Semi,Roofing Components
2302,20.35,kempas,B,Semi,Structural Framing
250,22.28,ginisapu,A,Indoor,Door/window
414,27.59,mahoganii,C,Semi,Door/window
1192,20.56,thulan,B,Indoor,Door/window
296,3.66,burutha,C,Semi,Door/window
960,28.34,kempas,C,Semi,Door/window
134,14.05,mango,C,Indoor,Door/window
1000,16.49,jak,A,Semi,Structural Framing
1200,20.33,kempas,A,Semi,Roofing Components
1200,12.14,kempas,A,Semi,Roofing Components
297,26.13,lunumidella,C,Semi,Roofing Components
593,2.9,mahoganii,C,Semi,Structural Framing
708,20.01,kempas,C,Semi,Roofing Components
1257,22.0,kempas,B,Semi,Door/window
829,21.27,kempas,C,Semi,Door/window
218,27.37,ginisapu,B,Indoor,Door/window
934,26.05,mahoganii,B,Semi,Structural Framing
1200,14.84,kempas,A,Semi,Roofing Components
850,28.29,jak,A,Semi,Door/window
1285,6.96,microo,C,Indoor,Structural Framing
734,19.81,kempas,C,Semi,Roofing Components
1000,9.48,microo,A,Indoor,Door/window
987,11.67,kempas,B,Semi,Roofing Components
500,16.54,lunumidella,A,Indoor,Roofing Components
500,6.26,burutha,A,Semi,Door/window
769,23.56,microo,B,Indoor,Door/window
1276,18.42,kempas,B,Semi,Door/window
1050,24.96,mahoganii,A,Semi,Structural Framing
688,20.68,kempas,C,Semi,Roofing Components
116,23.62,mango,C,Indoor,Door/window
850,22.13,jak,A,Semi,Door/window
761,16.93,microo,B,Indoor,Door/window
359,2.32,pinewood,C,Indoor,Roofing Components
450,24.96,ginisapu,A,Indoor,Roofing Components
943,8.87,thulan,C,Indoor,Door/window
1050,17.87,mahoganii,A,Semi,Structural Framing
674,20.2,jak,B,Semi,Door/window
359,19.79,ginisapu,B,Indoor,Roofing Components
1565,18.58,microo,B,Indoor,Structural Framing
816,5.66,kempas,C,Semi,Roofing Components
1029,10.43,kempas,C,Semi,Door/window
944,23.22,mahoganii,B,Semi,Structural Framing
531,27.81,burutha,B,Semi,Structural Framing
148,23.24,ginisapu,C,Indoor,Door/window
1050,29.89,mahoganii,A,Semi,Structural Framing
600,14.09,pinewood,A,Indoor,Roofing Components
1022,16.94,kempas,C,Semi,Door/window
1049,5.77,kempas,B,Semi,Roofing Components
3000,1.07,thulan,A,Indoor,Structural Framing
2000,8.54,microo,A,Indoor,Structural Framing
2433,28.31,thulan,B,Indoor,Structural Framing
653,2.53,mahoganii,B,Semi,Door/window
850,18.1,jak,A,Semi,Door/window
615,25.2,jak,C,Semi,Structural Framing
1000,27.72,jak,A,Semi,Structural Framing
1200,2.88,kempas,A,Semi,Roofing Components
500,11.81,lunumidella,A,Semi,Roofing Components
568,11.19,jak,C,Semi,Door/window
718,16.54,jak,B,Semi,Door/window
1053,5.81,teak,B,Semi,Door/window
2353,4.89,kempas,B,Semi,Structural Framing
1000,5.69,microo,A,Indoor,Door/window
1050,11.89,mahoganii,A,Semi,Structural Framing
823,2.22,teak,C,Semi,Structural Framing
500,6.37,burutha,A,Semi,Door/window
750,20.91,mahoganii,A,Semi,Door/window
188,17.91,ginisapu,B,Indoor,Door/window
1500,1.64,kempas,A,Semi,Door/window
1825,15.2,kempas,C,Semi,Structural Framing
1500,11.28,thulan,A,Indoor,Door/window
727,9.2,jak,B,Semi,Door/window
2567,6.35,thulan,B,Indoor,Structural Framing
450,5.76,ginisapu,A,Indoor,Roofing Components
450,4.8,ginisapu,A,Indoor,Roofing Components
455,5.32,pinewood,B,Indoor,Roofing Components
1160,10.95,microo,C,Indoor,Structural Framing
421,24.62,lunumidella,B,Semi,Roofing Components
1260,11.38,thulan,B,Indoor,Door/window
607,27.75,microo,C,Indoor,Door/window
425,16.73,lunumidella,B,Indoor,Roofing Components
600,11.81,pinewood,A,Indoor,Roofing Components
467,3.1,pinewood,B,Indoor,Roofing Components
1013,22.18,kempas,B,Semi,Roofing Components
986,10.51,thulan,C,Indoor,Door/window
675,13.63,microo,C,Indoor,Door/window
589,23.68,mahoganii,B,Semi,Door/window
2000,15.6,kubuk,A,Outdoor,Structural Framing
389,8.02,burutha,B,Semi,Door/window
380,26.27,ginisapu,B,Indoor,Roofing Components
456,2.9,burutha,B,Semi,Structural Framing
1502,16.8,microo,B,Indoor,Structural Framing
396,10.55,lunumidella,B,Indoor,Roofing Components
565,28.8,microo,C,Indoor,Door/window
337,20.52,mango,B,Indoor,Structural Framing
960,15.6,kempas,B,Semi,Roofing Components
260,27.89,ginisapu,C,Indoor,Roofing Components
388,13.35,ginisapu,B,Indoor,Roofing Components
1200,16.38,teak,A,Semi,Door/window
409,17.37,lunumidella,B,Outdoor,Roofing Components
1749,3.72,microo,B,Indoor,Structural Framing
348,20.81,ginisapu,B,Indoor,Roofing Components
1028,17.82,kempas,C,Semi,Door/window
834,21.82,microo,B,Indoor,Door/window
913,13.8,teak,B,Semi,Structural Framing
1200,2.2,kempas,A,Semi,Roofing Components
280,4.5,lunumidella,C,Indoor,Roofing Components
1015,26.64,teak,B,Semi,Door/window
618,6.66,mahoganii,C,Semi,Structural Framing
1123,1.62,microo,C,Indoor,Structural Framing
409,11.07,burutha,B,Semi,Door/window
500,6.47,lunumidella,A,Outdoor,Roofing Components
506,22.85,mahoganii,C,Semi,Door/window
250,6.31,ginisapu,A,Indoor,Door/window
539,22.38,pinewood,B,Indoor,Roofing Components
850,7.65,jak,A,Semi,Door/window
3000,16.1,thulan,A,Indoor,Structural Framing
133,4.89,mango,C,Indoor,Door/window
1134,19.04,thulan,B,Indoor,Door/window
997,21.1,kempas,B,Semi,Roofing Components
312,19.28,mango,B,Indoor,Structural Framing
3000,6.73,thulan,A,Indoor,Structural Framing
417,28.11,lunumidella,B,Semi,Roofing Components
315,24.59,mango,B,Indoor,Structural Framing
400,5.96,mango,A,Indoor,Structural Framing
922,23.41,teak,B,Semi,Door/window
646,17.61,microo,C,Indoor,Door/window
2114,19.8,kempas,B,Semi,Structural Framing
170,23.23,mango,B,Indoor,Door/window
1676,9.16,kubuk,B,Outdoor,Structural Framing
277,5.74,ginisapu,C,Indoor,Roofing Components
307,18.02,lunumidella,C,Indoor,Roofing Components
1721,1.61,microo,B,Indoor,Structural Framing
766,14.93,jak,B,Semi,Structural Framing
800,9.26,microo,B,Indoor,Door/window
750,24.09,mahoganii,A,Semi,Door/window
600,9.76,pinewood,A,Indoor,Roofing Components
1150,9.45,kubuk,C,Outdoor,Structural Framing
775,5.1,kempas,C,Semi,Roofing Components
438,18.01,lunumidella,B,Indoor,Roofing Components
450,25.2,ginisapu,A,Indoor,Roofing Components
450,5.2,ginisapu,A,Indoor,Roofing Components
318,6.72,mango,B,Indoor,Structural Framing
2693,23.99,thulan,B,Indoor,Structural Framing
850,4.19,jak,A,Semi,Door/window
2227,2.95,kempas,B,Semi,Structural Framing
1768,21.49,thulan,C,Indoor,Structural Framing
826,14.26,thulan,C,Indoor,Door/window
1200,7.1,teak,A,Semi,Structural Framing
502,6.99,burutha,B,Semi,Structural Framing
920,28.59,kempas,B,Semi,Roofing Components
763,19.51,kempas,C,Semi,Roofing Components
710,16.7,teak,C,Semi,Structural Framing
384,15.22,lunumidella,B,Semi,Roofing Components
509,22.44,pinewood,B,Indoor,Roofing Components
1583,2.15,kempas,C,Semi,Structural Framing
468,18.7,pinewood,B,Indoor,Roofing Components
1200,28.51,teak,A,Semi,Door/window
381,25.28,lunumidella,B,Outdoor,Roofing Components
218,18.21,ginisapu,B,Indoor,Door/window
1050,10.27,mahoganii,A,Semi,Structural Framing
1749,16.11,kubuk,B,Outdoor,Structural Framing
450,2.37,ginisapu,A,Indoor,Roofing Components
1000,24.89,microo,A,Indoor,Door/window
500,29.41,lunumidella,A,Indoor,Roofing Components
1625,15.95,kubuk,B,Outdoor,Structural Framing
850,14.44,jak,A,Semi,Door/window
884,3.51,jak,B,Semi,Structural Framing
1394,16.42,microo,C,Indoor,Structural Framing
156,19.84,mango,B,Indoor,Door/window
772,11.1,kempas,C,Semi,Roofing Components
750,9.37,mahoganii,A,Semi,Door/window
200,23.17,mango,A,Indoor,Door/window
200,16.63,mango,A,Indoor,Door/window
500,9.63,lunumidella,A,Semi,Roofing Components
850,20.05,jak,A,Semi,Door/window
304,6.0,mango,B,Indoor,Structural Framing
519,2.3,pinewood,B,Indoor,Roofing Components
440,6.76,lunumidella,B,Indoor,Roofing Components
344,12.78,ginisapu,B,Indoor,Roofing Components
2000,8.84,microo,A,Indoor,Structural Framing
471,15.06,jak,C,Semi,Door/window
1200,29.06,teak,A,Semi,Structural Framing
1029,14.64,teak,B,Semi,Door/window
1681,24.51,thulan,C,Indoor,Structural Framing
1069,7.9,teak,B,Semi,Door/window
500,24.9,lunumidella,A,Semi,Roofing Components
1203,17.68,microo,C,Indoor,Structural Framing
262,21.21,mango,C,Indoor,Structural Framing
1140,7.28,thulan,B,Indoor,Door/window
283,19.74,lunumidella,C,Semi,Roofing Components
450,18.88,ginisapu,A,Indoor,Roofing Components
474,5.14,pinewood,B,Indoor,Roofing Components
170,29.86,mango,B,Indoor,Door/window
662,4.57,microo,C,Indoor,Door/window
171,24.68,mango,B,Indoor,Door/window
1033,8.01,kempas,B,Semi,Roofing Components
968,12.01,kempas,B,Semi,Roofing Components
1028,15.25,kempas,C,Semi,Door/window
600,19.99,pinewood,A,Indoor,Roofing Components
161,29.18,ginisapu,C,Indoor,Door/window
2800,16.46,kempas,A,Semi,Structural Framing
1000,20.94,jak,A,Semi,Structural Framing
812,28.19,teak,C,Semi,Door/window
559,29.07,microo,C,Indoor,Door/window
783,22.1,microo,B,Indoor,Door/window
1269,8.66,microo,C,Indoor,Structural Framing
1285,17.54,kempas,B,Semi,Door/window
1200,12.22,teak,A,Semi,Structural Framing
962,24.04,thulan,C,Indoor,Door/window
344,21.45,mango,B,Indoor,Structural Framing
500,29.12,burutha,A,Semi,Door/window
450,10.74,ginisapu,A,Indoor,Roofing Components
371,2.05,pinewood,C,Indoor,Roofing Components
500,2.42,burutha,A,Semi,Door/window
231,13.46,mango,C,Indoor,Structural Framing
631,15.48,jak,C,Semi,Structural Framing
1200,9.53,kempas,A,Semi,Roofing Components
1500,20.08,thulan,A,Indoor,Door/window
347,9.18,ginisapu,B,Indoor,Roofing Components
2423,7.38,kempas,B,Semi,Structural Framing
228,6.14,mango,C,Indoor,Structural Framing
600,25.46,pinewood,A,Indoor,Roofing Components
932,14.38,kempas,B,Semi,Roofing Components
2384,4.53,thulan,B,Indoor,Structural Framing
2000,12.01,kubuk,A,Outdoor,Structural Framing
200,23.94,mango,A,Indoor,Door/window
433,14.33,lunumidella,B,Semi,Roofing Components
850,4.14,jak,A,Semi,Door/window
323,4.89,lunumidella,C,Outdoor,Roofing Components
1500,8.32,kempas,A,Semi,Door/window
750,1.5,mahoganii,A,Semi,Door/window
1199,21.63,thulan,B,Indoor,Door/window
600,25.1,pinewood,A,Indoor,Roofing Components
450,27.91,ginisapu,A,Indoor,Roofing Components
784,11.26,kempas,C,Semi,Roofing Components
450,18.82,ginisapu,A,Indoor,Roofing Components
450,29.19,ginisapu,A,Indoor,Roofing Components
626,8.6,mahoganii,B,Semi,Door/window
522,1.29,mahoganii,C,Semi,Door/window
3000,26.89,thulan,A,Indoor,Structural Framing
383,7.84,ginisapu,B,Indoor,Roofing Components
838,8.16,mahoganii,B,Semi,Structural Framing
450,3.48,ginisapu,A,Indoor,Roofing Components
728,18.04,kempas,C,Semi,Roofing Components
1000,20.5,microo,A,Indoor,Door/window
200,18.17,mango,A,Indoor,Door/window
400,1.17,mango,A,Indoor,Structural Framing
440,14.6,lunumidella,B,Indoor,Roofing Components
750,29.94,mahoganii,A,Semi,Door/window
1164,17.59,microo,C,Indoor,Structural Framing
158,11.85,ginisapu,C,Indoor,Door/window
513,13.24,pinewood,B,Indoor,Roofing Components
505,26.61,jak,C,Semi,Door/window
366,20.21,burutha,C,Semi,Structural Framing
385,27.5,pinewood,C,Indoor,Roofing Components
179,14.35,mango,B,Indoor,Door/window
202,28.95,ginisapu,B,Indoor,Door/window
854,21.93,microo,B,Indoor,Door/window
440,10.43,mahoganii,C,Semi,Door/window
497,24.24,pinewood,B,Indoor,Roofing Components
1788,11.05,thulan,C,Indoor,Structural Framing
1313,10.08,kempas,B,Semi,Door/window
1551,14.84,microo,B,Indoor,Structural Framing
464,19.05,pinewood,B,Indoor,Roofing Components
1500,24.18,thulan,A,Indoor,Door/window
192,26.44,ginisapu,B,Indoor,Door/window
500,28.14,lunumidella,A,Outdoor,Roofing Components
600,26.78,pinewood,A,Indoor,Roofing Components
397,19.96,burutha,C,Semi,Structural Framing
450,17.72,ginisapu,A,Indoor,Roofing Components
850,14.87,jak,A,Semi,Door/window
2000,17.12,kubuk,A,Outdoor,Structural Framing
3000,12.81,thulan,A,Indoor,Structural Framing
1500,10.59,kempas,A,Semi,Door/window
709,27.59,mahoganii,C,Semi,Structural Framing
1500,8.18,kempas,A,Semi,Door/window
450,25.59,ginisapu,A,Indoor,Roofing Components
630,12.58,mahoganii,C,Semi,Structural Framing
600,23.48,pinewood,A,Indoor,Roofing Components
592,26.05,mahoganii,C,Semi,Structural Framing
450,17.03,ginisapu,A,Indoor,Roofing Components
622,1.35,jak,C,Semi,Structural Framing
513,16.95,jak,C,Semi,Door/window
1268,13.66,kubuk,C,Outdoor,Structural Framing
395,14.43,burutha,B,Semi,Door/window
450,5.73,ginisapu,A,Indoor,Roofing Components
805,9.96,teak,C,Semi,Structural Framing
1024,17.63,kempas,C,Semi,Door/window
671,21.71,teak,C,Semi,Structural Framing
328,12.37,burutha,C,Semi,Door/window
450,22.51,ginisapu,A,Indoor,Roofing Components
503,29.25,pinewood,B,Indoor,Roofing Components
533,8.08,pinewood,B,Indoor,Roofing Components
1055,25.51,kempas,B,Semi,Roofing Components
195,12.84,ginisapu,B,Indoor,Door/window
200,25.15,mango,A,Indoor,Door/window
718,21.66,mahoganii,C,Semi,Structural Framing
1500,11.81,kempas,A,Semi,Door/window
1038,25.53,thulan,C,Indoor,Door/window
965,24.48,kempas,B,Semi,Roofing Components
1500,3.79,thulan,A,Indoor,Door/window
1000,5.9,jak,A,Semi,Structural Framing
334,20.12,burutha,C,Semi,Door/window
664,8.33,mahoganii,B,Semi,Door/window
1706,1.73,kempas,C,Semi,Structural Framing
2000,7.02,microo,A,Indoor,Structural Framing
1251,9.81,thulan,B,Indoor,Door/window
1200,14.21,teak,A,Semi,Door/window
783,7.4,teak,C,Semi,Structural Framing
600,27.86,pinewood,A,Indoor,Roofing Components
200,19.67,mango,A,Indoor,Door/window
1502,6.39,kubuk,B,Outdoor,Structural Framing
649,11.4,mahoganii,C,Semi,Structural Framing
2800,9.33,kempas,A,Semi,Structural Framing
250,11.51,ginisapu,A,Indoor,Door/window
1500,26.65,kempas,A,Semi,Door/window
1020,9.81,teak,B,Semi,Structural Framing
1281,4.8,thulan,B,Indoor,Door/window
1000,28.93,jak,A,Semi,Structural Framing
895,18.2,thulan,C,Indoor,Door/window
200,10.39,mango,A,Indoor,Door/window
455,7.34,pinewood,B,Indoor,Roofing Components
890,4.48,kempas,C,Semi,Door/window
416,3.67,burutha,B,Semi,Door/window
1000,5.59,microo,A,Indoor,Door/window
309,4.85,lunumidella,C,Semi,Roofing Components
200,21.31,mango,A,Indoor,Door/window
944,25.16,teak,B,Semi,Structural Framing
500,28.31,burutha,A,Semi,Door/window
313,20.97,burutha,C,Semi,Door/window
969,12.99,kempas,B,Semi,Roofing Components
1020,3.8,teak,B,Semi,Structural Framing
2800,19.32,kempas,A,Semi,Structural Framing
503,25.78,pinewood,B,Indoor,Roofing Components
712,25.95,kempas,C,Semi,Roofing Components
486,19.71,burutha,B,Semi,Structural Framing
1200,20.87,teak,A,Semi,Structural Framing
1566,9.97,kempas,C,Semi,Structural Framing
958,29.62,kempas,B,Semi,Roofing Components
2642,22.09,thulan,B,Indoor,Structural Framing
1000,7.97,teak,B,Semi,Door/window
489,28.1,mahoganii,C,Semi,Door/window
1050,17.08,mahoganii,A,Semi,Structural Framing
791,29.95,microo,B,Indoor,Door/window
500,6.23,lunumidella,A,Outdoor,Roofing Components
395,13.12,burutha,C,Semi,Structural Framing
144,5.49,ginisapu,C,Indoor,Door/window
1200,1.44,kempas,A,Semi,Roofing Components
336,11.55,pinewood,C,Indoor,Roofing Components
500,1.77,burutha,A,Semi,Door/window
1500,4.91,kempas,A,Semi,Door/window
209,11.61,ginisapu,B,Indoor,Door/window
318,2.55,mango,B,Indoor,Structural Framing
1053,8.71,kempas,B,Semi,Roofing Components
1644,4.12,kempas,C,Semi,Structural Framing
1500,17.75,kempas,A,Semi,Door/window
200,17.83,mango,A,Indoor,Door/window
160,13.51,mango,B,Indoor,Door/window
1000,27.67,microo,A,Indoor,Door/window
442,6.14,mahoganii,C,Semi,Door/window
690,2.42,jak,B,Semi,Door/window
405,8.61,pinewood,C,Indoor,Roofing Components
500,19.62,lunumidella,A,Indoor,Roofing Components
1244,18.57,thulan,B,Indoor,Door/window
683,14.63,jak,B,Semi,Door/window
200,19.9,mango,A,Indoor,Door/window
699,23.74,jak,C,Semi,Structural Framing
426,10.02,lunumidella,B,Indoor,Roofing Components
992,28.87,kempas,B,Semi,Roofing Components
1200,25.94,kempas,A,Semi,Roofing Components
750,18.98,mahoganii,A,Semi,Door/window
1133,25.28,kubuk,C,Outdoor,Structural Framing
200,9.91,mango,A,Indoor,Door/window
2324,28.29,kempas,B,Semi,Structural Framing
786,24.87,teak,C,Semi,Structural Framing
2683,23.97,thulan,B,Indoor,Structural Framing
1050,6.56,mahoganii,A,Semi,Structural Framing
233,26.91,mango,C,Indoor,Structural Framing
1500,6.55,thulan,A,Indoor,Door/window
275,24.4,mango,C,Indoor,Structural Framing
243,25.45,mango,C,Indoor,Structural Framing
450,16.49,ginisapu,A,Indoor,Roofing Components
471,18.97,burutha,B,Semi,Structural Framing
460,10.14,pinewood,B,Indoor,Roofing Components
781,3.29,kempas,C,Semi,Roofing Components
388,3.97,lunumidella,B,Outdoor,Roofing Components
1200,24.05,kempas,A,Semi,Roofing Components
663,17.39,kempas,C,Semi,Roofing Components
988,26.08,teak,B,Semi,Structural Framing
3000,13.82,thulan,A,Indoor,Structural Framing
345,13.95,burutha,C,Semi,Door/window
2648,10.58,thulan,B,Indoor,Structural Framing
1500,18.59,thulan,A,Indoor,Door/window
500,13.15,burutha,A,Semi,Door/window
500,8.29,burutha,A,Semi,Door/window
513,25.69,jak,C,Semi,Door/window
978,16.57,kempas,B,Semi,Roofing Components
1110,21.49,microo,C,Indoor,Structural Framing
720,14.55,kempas,C,Semi,Roofing Components
578,19.48,microo,C,Indoor,Door/window
600,12.61,burutha,A,Semi,Structural Framing
568,18.44,jak,C,Semi,Door/window
1200,24.54,teak,A,Semi,Structural Framing
496,3.31,jak,C,Semi,Door/window
617,24.45,jak,C,Semi,Structural Framing
949,4.91,kempas,C,Semi,Door/window
599,20.66,mahoganii,B,Semi,Door/window
378,20.47,lunumidella,B,Indoor,Roofing Components
152,15.08,mango,B,Indoor,Door/window
381,1.33,lunumidella,B,Semi,Roofing Components
373,13.99,pinewood,C,Indoor,Roofing Components
315,25.11,lunumidella,C,Indoor,Roofing Components
165,3.14,mango,B,Indoor,Door/window
1500,27.41,kempas,A,Semi,Door/window
1314,22.83,kubuk,C,Outdoor,Structural Framing
1380,17.25,microo,C,Indoor,Structural Framing
450,16.04,ginisapu,A,Indoor,Roofing Components
647,25.15,mahoganii,C,Semi,Structural Framing
450,27.33,ginisapu,A,Indoor,Roofing Components
810,29.9,kempas,C,Semi,Roofing Components
1200,5.25,kempas,A,Semi,Roofing Components
393,3.72,lunumidella,B,Outdoor,Roofing Components
500,17.69,lunumidella,A,Indoor,Roofing Components
400,15.15,mango,A,Indoor,Structural Framing
1200,22.69,teak,A,Semi,Door/window
450,13.5,ginisapu,A,Indoor,Roofing Components
600,3.94,burutha,A,Semi,Structural Framing
439,27.29,burutha,B,Semi,Door/window
600,28.99,pinewood,A,Indoor,Roofing Components
1741,11.72,thulan,C,Indoor,Structural Framing
995,12.2,kempas,B,Semi,Roofing Components
450,6.29,pinewood,B,Indoor,Roofing Components
148,1.88,ginisapu,C,Indoor,Door/window
206,15.25,ginisapu,B,Indoor,Door/window
1050,27.91,mahoganii,A,Semi,Structural Framing
1200,2.05,teak,A,Semi,Door/window
1013,20.49,kempas,B,Semi,Roofing Components
705,2.4,kempas,C,Semi,Roofing Components
1903,14.63,thulan,C,Indoor,Structural Framing
674,8.24,microo,C,Indoor,Door/window
2800,21.87,kempas,A,Semi,Structural Framing
1200,8.45,kempas,A,Semi,Roofing Components
837,16.73,mahoganii,B,Semi,Structural Framing
1200,22.94,kempas,A,Semi,Roofing Components
600,2.94,burutha,A,Semi,Structural Framing
375,29.82,burutha,C,Semi,Structural Framing
2433,4.0,kempas,B,Semi,Structural Framing
1200,29.09,kempas,A,Semi,Roofing Components
600,7.46,pinewood,A,Indoor,Roofing Components
1200,22.77,teak,A,Semi,Door/window
985,22.98,teak,B,Semi,Door/window
750,19.05,mahoganii,A,Semi,Door/window
278,18.49,lunumidella,C,Semi,Roofing Components
413,1.72,mahoganii,C,Semi,Door/window
347,10.88,burutha,C,Semi,Door/window
1791,6.09,microo,B,Indoor,Structural Framing
2800,20.51,kempas,A,Semi,Structural Framing
2146,16.26,kempas,B,Semi,Structural Framing
2800,22.75,kempas,A,Semi,Structural Framing
540,28.83,jak,C,Semi,Door/window
2298,29.27,kempas,B,Semi,Structural Framing
264,16.79,mango,C,Indoor,Structural Framing
454,2.15,pinewood,B,Indoor,Roofing Components
1674,15.5,kubuk,B,Outdoor,Structural Framing
428,11.65,burutha,B,Semi,Door/window
2000,19.88,microo,A,Indoor,Structural Framing
450,21.22,ginisapu,A,Indoor,Roofing Components
700,17.87,jak,B,Semi,Door/window
450,2.96,ginisapu,A,Indoor,Roofing Components
498,20.81,pinewood,B,Indoor,Roofing Components
1699,21.11,thulan,C,Indoor,Structural Framing
1634,16.33,microo,B,Indoor,Structural Framing
1050,6.21,mahoganii,A,Semi,Structural Framing
342,16.89,ginisapu,B,Indoor,Roofing Components
1274,27.68,kempas,B,Semi,Door/window
864,22.17,microo,B,Indoor,Door/window
444,28.82,lunumidella,B,Indoor,Roofing Components
303,5.95,lunumidella,C,Semi,Roofing Components
2000,6.34,microo,A,Indoor,Structural Framing
1000,21.01,microo,A,Indoor,Door/window
299,7.02,ginisapu,C,Indoor,Roofing Components
1344,15.78,thulan,B,Indoor,Door/window
612,1.71,mahoganii,C,Semi,Structural Framing
411,6.13,pinewood,C,Indoor,Roofing Components
440,21.03,burutha,B,Semi,Door/window
605,4.02,mahoganii,C,Semi,Structural Framing
2000,21.33,microo,A,Indoor,Structural Framing
796,7.24,kempas,C,Semi,Roofing Components
929,11.88,kempas,B,Semi,Roofing Components
812,26.13,microo,B,Indoor,Door/window
152,5.88,mango,B,Indoor,Door/window
860,17.26,jak,B,Semi,Structural Framing
314,23.34,burutha,C,Semi,Door/window
484,29.52,mahoganii,C,Semi,Door/window
427,21.7,lunumidella,B,Semi,Roofing Components
600,18.57,pinewood,A,Indoor,Roofing Components
305,14.89,lunumidella,C,Indoor,Roofing Components
352,13.28,ginisapu,B,Indoor,Roofing Components
600,15.33,pinewood,A,Indoor,Roofing Components
711,20.55,teak,C,Semi,Door/window
1567,2.39,kubuk,B,Outdoor,Structural Framing
2000,20.74,kubuk,A,Outdoor,Structural Framing
1304,2.37,thulan,B,Indoor,Door/window
1114,25.84,microo,C,Indoor,Structural Framing
1500,20.28,thulan,A,Indoor,Door/window
400,5.76,mango,A,Indoor,Structural Framing
504,8.38,pinewood,B,Indoor,Roofing Components
250,13.8,ginisapu,A,Indoor,Door/window
1500,17.22,thulan,A,Indoor,Door/window
342,6.01,pinewood,C,Indoor,Roofing Components
469,24.67,pinewood,B,Indoor,Roofing Components
400,22.43,mango,A,Indoor,Structural Framing
761,5.16,jak,B,Semi,Door/window
200,12.41,mango,A,Indoor,Door/window
320,15.63,lunumidella,C,Outdoor,Roofing Components
435,12.84,lunumidella,B,Semi,Roofing Components
398,18.79,lunumidella,B,Indoor,Roofing Components
469,21.0,pinewood,B,Indoor,Roofing Components
301,17.62,lunumidella,C,Semi,Roofing Components
1200,23.01,kempas,A,Semi,Roofing Components
1218,9.27,thulan,B,Indoor,Door/window
318,3.38,lunumidella,C,Semi,Roofing Components
600,21.48,burutha,A,Semi,Structural Framing
1841,25.35,kempas,C,Semi,Structural Framing
361,24.15,pinewood,C,Indoor,Roofing Components
2419,5.63,thulan,B,Indoor,Structural Framing
341,4.08,lunumidella,C,Outdoor,Roofing Components
692,4.07,kempas,C,Semi,Roofing Components
750,21.24,mahoganii,A,Semi,Door/window
393,22.27,burutha,B,Semi,Door/window
450,29.23,ginisapu,A,Indoor,Roofing Components
1213,23.93,microo,C,Indoor,Structural Framing
1146,20.47,kempas,B,Semi,Door/window
1200,24.6,teak,A,Semi,Structural Framing
490,16.78,burutha,B,Semi,Structural Framing
600,4.37,burutha,A,Semi,Structural Framing
600,2.57,pinewood,A,Indoor,Roofing Components
1000,25.07,microo,A,Indoor,Door/window
340,19.12,ginisapu,B,Indoor,Roofing Components
366,24.93,ginisapu,B,Indoor,Roofing Components
1200,4.68,teak,A,Semi,Structural Framing
410,28.79,lunumidella,B,Semi,Roofing Components
1846,26.29,thulan,C,Indoor,Structural Framing
500,28.88,lunumidella,A,Outdoor,Roofing Components
1940,17.22,thulan,C,Indoor,Structural Framing
1574,9.5,kubuk,B,Outdoor,Structural Framing
175,15.6,mango,B,Indoor,Door/window
250,23.74,ginisapu,A,Indoor,Door/window
301,16.99,lunumidella,C,Semi,Roofing Components
313,12.25,burutha,C,Semi,Door/window
200,1.81,mango,A,Indoor,Door/window
266,28.52,ginisapu,C,Indoor,Roofing Components
450,17.98,ginisapu,A,Indoor,Roofing Components
437,11.38,lunumidella,B,Semi,Roofing Components
340,20.67,burutha,C,Semi,Structural Framing
260,16.26,ginisapu,C,Indoor,Roofing Components
200,19.79,mango,A,Indoor,Door/window
519,21.41,pinewood,B,Indoor,Roofing Components
835,17.95,microo,B,Indoor,Door/window
476,1.64,pinewood,B,Indoor,Roofing Components
675,19.59,microo,C,Indoor,Door/window
2800,15.42,kempas,A,Semi,Structural Framing
313,3.57,burutha,C,Semi,Door/window
