boq_text,machinery,vehicles,skilled,unskilled,labour_roles
Item_23 Synthetic entry qty:206.575854 pieces vehicles:Excavator labor:Unskilled,Excavator,Excavator,22,25,Carpenter_skilled;ConcreteWorker_skilled;Painter_skilled;Driver_unskilled
"Item_24 Synthetic entry qty:12.838563 pieces vehicles:Loader,Mixer labor:Skilled,Semi-skilled",Loader;Mixer,Loader;Mixer,28,12,Driver_unskilled;Carpenter_skilled;Painter_skilled
Item_25 Synthetic entry qty:386.517018 pieces vehicles:Large Truck labor:Unskilled,Large Truck,Large Truck,25,25,Driver_unskilled;Labourer_unskilled
"Item_26 Synthetic entry qty:449.48307 m3 vehicles:None labor:Skilled,Professional",,,13,46,Driver_unskilled
Item_27 Synthetic entry qty:24.570987 m3 vehicles:Trailer labor:Professional,Trailer,Trailer,22,14,ConcreteWorker_skilled;Driver_unskilled;Tiler_skilled
"Item_28 Synthetic entry qty:134.645654 kg vehicles:Large Truck labor:Unskilled,Semi-skilled",Large Truck,Large Truck,21,21,Painter_skilled;Labourer_unskilled;Mason_skilled
Item_29 Synthetic entry qty:295.87636 units vehicles:Trailer labor:Semi-skilled,Trailer,Trailer,9,46,Mason_skilled;Driver_unskilled;Carpenter_skilled;Labourer_unskilled
Item_30 Synthetic entry qty:184.451492 bag vehicles:Trailer labor:Semi-skilled,Trailer,Trailer,13,13,Driver_unskilled
"Item_31 Synthetic entry qty:342.290767 bag vehicles:Crane labor:Skilled,Unskilled",Crane,Crane,11,31,Painter_skilled
"Item_32 Synthetic entry qty:370.43796 bag vehicles:Crane,Trailer labor:Unskilled",Crane;Trailer,Crane;Trailer,20,12,Painter_skilled;ConcreteWorker_skilled;Tiler_skilled;Driver_unskilled
"Item_33 Synthetic entry qty:129.22283 m3 vehicles:Loader,Mixer labor:Skilled",Loader;Mixer,Loader;Mixer,14,38,Driver_unskilled;Labourer_unskilled
"Item_34 Synthetic entry qty:401.641051 kg vehicles:Crane labor:Skilled,Unskilled",Crane,Crane,23,24,Carpenter_skilled;Painter_skilled;Tiler_skilled
"Item_35 Synthetic entry qty:336.011544 m3 vehicles:Crane,Trailer labor:Unskilled,Semi-skilled",Crane;Trailer,Crane;Trailer,20,29,Mason_skilled;ConcreteWorker_skilled;Painter_skilled;Driver_unskilled
"Item_36 Synthetic entry qty:307.020833 bag vehicles:Large Truck labor:Skilled,Unskilled",Large Truck,Large Truck,14,14,Tiler_skilled;Painter_skilled;Mason_skilled
"Item_37 Synthetic entry qty:239.385388 m3 vehicles:Excavator labor:Unskilled,Semi-skilled",Excavator,Excavator,10,47,Carpenter_skilled;Tiler_skilled;Labourer_unskilled
"Item_38 Synthetic entry qty:242.028992 bag vehicles:Trailer labor:Skilled,Professional",Trailer,Trailer,20,10,Tiler_skilled;ConcreteWorker_skilled;Driver_unskilled
"Item_39 Synthetic entry qty:420.201198 bag vehicles:Trailer labor:Skilled,Semi-skilled",Trailer,Trailer,6,26,Tiler_skilled;Labourer_unskilled
"Item_40 Synthetic entry qty:31.851719 bag vehicles:Excavator labor:Skilled,Professional",Excavator,Excavator,10,7,Welder_skilled;Labourer_unskilled;Driver_unskilled;Mason_skilled
Item_41 Synthetic entry qty:191.621318 m3 vehicles:Crane labor:Unskilled,Crane,Crane,5,40,Carpenter_skilled;ConcreteWorker_skilled;Labourer_unskilled;Painter_skilled
Item_42 Synthetic entry qty:59.987001 units vehicles:None labor:Professional,,,17,47,Mason_skilled;Carpenter_skilled;Tiler_skilled;Labourer_unskilled
"Item_43 Synthetic entry qty:248.514074 m3 vehicles:Crane,Trailer labor:Professional",Crane;Trailer,Crane;Trailer,18,32,Driver_unskilled;Carpenter_skilled
Item_44 Synthetic entry qty:106.370623 bag vehicles:None labor:Unskilled,,,21,25,Tiler_skilled;ConcreteWorker_skilled
"Item_45 Synthetic entry qty:253.699487 bag vehicles:Crane,Trailer labor:Unskilled,Semi-skilled",Crane;Trailer,Crane;Trailer,20,12,Painter_skilled;Driver_unskilled
"Item_46 Synthetic entry qty:267.743266 bag vehicles:Loader,Mixer labor:Skilled,Unskilled",Loader;Mixer,Loader;Mixer,11,22,ConcreteWorker_skilled;Mason_skilled
"Item_47 Synthetic entry qty:56.35085 units vehicles:Loader,Mixer labor:Professional",Loader;Mixer,Loader;Mixer,23,46,Welder_skilled;Driver_unskilled;ConcreteWorker_skilled
"Item_48 Synthetic entry qty:368.416199 m3 vehicles:Trailer labor:Skilled,Unskilled",Trailer,Trailer,9,29,Driver_unskilled;ConcreteWorker_skilled
"Item_49 Synthetic entry qty:170.488736 units vehicles:Crane labor:Skilled,Professional",Crane,Crane,11,21,Tiler_skilled
Item_50 Synthetic entry qty:108.832798 pieces vehicles:None labor:Skilled,,,16,42,Mason_skilled;Carpenter_skilled
"Item_51 Synthetic entry qty:248.710106 units vehicles:Loader,Mixer labor:Skilled",Loader;Mixer,Loader;Mixer,23,8,Tiler_skilled;Welder_skilled
"Item_52 Synthetic entry qty:159.910779 units vehicles:Crane,Trailer labor:Skilled,Semi-skilled",Crane;Trailer,Crane;Trailer,9,10,ConcreteWorker_skilled
"Item_53 Synthetic entry qty:328.528672 bag vehicles:Trailer labor:Unskilled,Semi-skilled",Trailer,Trailer,21,45,ConcreteWorker_skilled
"Item_54 Synthetic entry qty:402.00233 kg vehicles:Loader,Mixer labor:Skilled,Semi-skilled",Loader;Mixer,Loader;Mixer,27,26,Welder_skilled;Tiler_skilled
Item_55 Synthetic entry qty:296.031812 bag vehicles:Excavator labor:Semi-skilled,Excavator,Excavator,12,23,Painter_skilled;ConcreteWorker_skilled;Mason_skilled
"Item_56 Synthetic entry qty:131.206966 pieces vehicles:Loader,Mixer labor:Unskilled,Semi-skilled",Loader;Mixer,Loader;Mixer,18,33,Tiler_skilled
"Item_57 Synthetic entry qty:196.480441 pieces vehicles:Loader,Mixer labor:Semi-skilled",Loader;Mixer,Loader;Mixer,9,29,Painter_skilled;Mason_skilled;Tiler_skilled
Item_58 Synthetic entry qty:399.005627 pieces vehicles:None labor:Unskilled,,,26,32,Welder_skilled;ConcreteWorker_skilled
"Item_59 Synthetic entry qty:182.329718 bag vehicles:Trailer labor:Skilled,Semi-skilled",Trailer,Trailer,15,24,Driver_unskilled
"Item_60 Synthetic entry qty:413.826892 m3 vehicles:Large Truck labor:Unskilled,Semi-skilled",Large Truck,Large Truck,24,43,Labourer_unskilled;Mason_skilled;Painter_skilled;Welder_skilled
"Item_61 Synthetic entry qty:325.381413 bag vehicles:Crane labor:Unskilled,Semi-skilled",Crane,Crane,14,6,Carpenter_skilled;Welder_skilled;ConcreteWorker_skilled;Driver_unskilled
"Item_62 Synthetic entry qty:108.423604 kg vehicles:Trailer labor:Skilled,Semi-skilled",Trailer,Trailer,6,25,Painter_skilled;ConcreteWorker_skilled;Welder_skilled;Driver_unskilled
"Item_63 Synthetic entry qty:74.408791 pieces vehicles:Large Truck labor:Skilled,Semi-skilled",Large Truck,Large Truck,10,33,Painter_skilled
"Item_64 Synthetic entry qty:128.578115 bag vehicles:Crane,Trailer labor:Professional",Crane;Trailer,Crane;Trailer,20,30,Mason_skilled;Tiler_skilled;Driver_unskilled
"Item_65 Synthetic entry qty:384.470653 m3 vehicles:Crane,Trailer labor:Skilled,Unskilled",Crane;Trailer,Crane;Trailer,14,39,Painter_skilled;Driver_unskilled;Welder_skilled;Labourer_unskilled
"Item_66 Synthetic entry qty:435.293929 m3 vehicles:Large Truck labor:Skilled,Semi-skilled",Large Truck,Large Truck,12,22,Painter_skilled
Item_67 Synthetic entry qty:125.57441 kg vehicles:None labor:Skilled,,,15,31,ConcreteWorker_skilled;Painter_skilled
Item_68 Synthetic entry qty:47.493704 m3 vehicles:Excavator labor:Unskilled,Excavator,Excavator,29,18,Welder_skilled;Labourer_unskilled
"Item_69 Synthetic entry qty:399.307974 m3 vehicles:Crane,Trailer labor:Professional",Crane;Trailer,Crane;Trailer,28,15,Labourer_unskilled;Tiler_skilled
"Item_70 Synthetic entry qty:364.58682 kg vehicles:Excavator labor:Skilled,Unskilled",Excavator,Excavator,19,5,Mason_skilled
"Item_71 Synthetic entry qty:66.867016 pieces vehicles:Crane labor:Skilled,Professional",Crane,Crane,18,25,Mason_skilled;Driver_unskilled;Labourer_unskilled
Item_72 Synthetic entry qty:207.293589 units vehicles:None labor:Skilled,,,17,26,Painter_skilled;Mason_skilled;Carpenter_skilled
"Item_73 Synthetic entry qty:52.548408 m3 vehicles:Trailer labor:Skilled,Semi-skilled",Trailer,Trailer,18,48,Carpenter_skilled;Mason_skilled;Painter_skilled
"Item_74 Synthetic entry qty:391.781669 units vehicles:Large Truck labor:Skilled,Professional",Large Truck,Large Truck,12,30,Labourer_unskilled;Tiler_skilled;Carpenter_skilled
"Item_75 Synthetic entry qty:210.902496 units vehicles:Loader,Mixer labor:Professional",Loader;Mixer,Loader;Mixer,26,12,Carpenter_skilled;Mason_skilled;Labourer_unskilled
"Item_76 Synthetic entry qty:89.829298 bag vehicles:Crane,Trailer labor:Semi-skilled",Crane;Trailer,Crane;Trailer,10,30,Driver_unskilled
"Item_77 Synthetic entry qty:275.142151 units vehicles:Loader,Mixer labor:Professional",Loader;Mixer,Loader;Mixer,17,41,ConcreteWorker_skilled;Labourer_unskilled
"Item_78 Synthetic entry qty:199.050084 pieces vehicles:Crane,Trailer labor:Skilled",Crane;Trailer,Crane;Trailer,19,13,Driver_unskilled;Carpenter_skilled;ConcreteWorker_skilled
Item_79 Synthetic entry qty:195.159432 pieces vehicles:Excavator labor:Skilled,Excavator,Excavator,13,41,Mason_skilled;Carpenter_skilled;Tiler_skilled;Labourer_unskilled
"Item_80 Synthetic entry qty:497.565321 units vehicles:Trailer labor:Skilled,Semi-skilled",Trailer,Trailer,10,13,Driver_unskilled
"Item_81 Synthetic entry qty:368.397022 kg vehicles:Loader,Mixer labor:Skilled",Loader;Mixer,Loader;Mixer,17,11,Tiler_skilled;Painter_skilled;Carpenter_skilled;Mason_skilled
"Item_82 Synthetic entry qty:296.348668 bag vehicles:Trailer labor:Skilled,Unskilled",Trailer,Trailer,20,12,Carpenter_skilled;Welder_skilled;Mason_skilled;Labourer_unskilled
"Item_83 Synthetic entry qty:428.057517 bag vehicles:Crane,Trailer labor:Skilled",Crane;Trailer,Crane;Trailer,21,42,Painter_skilled;Labourer_unskilled;ConcreteWorker_skilled;Welder_skilled
"Item_84 Synthetic entry qty:88.079099 units vehicles:None labor:Skilled,Semi-skilled",,,13,18,Driver_unskilled;Mason_skilled;Carpenter_skilled;Welder_skilled
"Item_85 Synthetic entry qty:476.307062 kg vehicles:Crane,Trailer labor:Professional",Crane;Trailer,Crane;Trailer,9,26,ConcreteWorker_skilled;Carpenter_skilled;Mason_skilled;Painter_skilled
"Item_86 Synthetic entry qty:239.61351 kg vehicles:Loader,Mixer labor:Unskilled",Loader;Mixer,Loader;Mixer,19,36,Welder_skilled;Driver_unskilled;Mason_skilled;Labourer_unskilled
"Item_87 Synthetic entry qty:316.664138 bag vehicles:Crane,Trailer labor:Skilled",Crane;Trailer,Crane;Trailer,17,18,ConcreteWorker_skilled;Mason_skilled
"Item_88 Synthetic entry qty:121.81417 bag vehicles:Loader,Mixer labor:Professional",Loader;Mixer,Loader;Mixer,15,10,Driver_unskilled;ConcreteWorker_skilled
"Item_89 Synthetic entry qty:100.15234 bag vehicles:Crane,Trailer labor:Skilled,Professional",Crane;Trailer,Crane;Trailer,23,31,Painter_skilled;Labourer_unskilled
"Item_90 Synthetic entry qty:198.016436 bag vehicles:Crane,Trailer labor:Unskilled",Crane;Trailer,Crane;Trailer,10,47,Tiler_skilled;Labourer_unskilled
"Item_91 Synthetic entry qty:268.407349 bag vehicles:Trailer labor:Skilled,Semi-skilled",Trailer,Trailer,12,32,Welder_skilled;Driver_unskilled;Mason_skilled
"Item_92 Synthetic entry qty:459.668314 m3 vehicles:Trailer labor:Skilled,Unskilled",Trailer,Trailer,19,42,Welder_skilled;Labourer_unskilled;Driver_unskilled;Mason_skilled
"Item_93 Synthetic entry qty:157.953814 bag vehicles:Crane labor:Skilled,Semi-skilled",Crane,Crane,13,30,Painter_skilled;Mason_skilled
"Item_94 Synthetic entry qty:250.042892 units vehicles:Loader,Mixer labor:Unskilled",Loader;Mixer,Loader;Mixer,19,24,Labourer_unskilled;Mason_skilled
Item_95 Synthetic entry qty:89.135965 units vehicles:Excavator labor:Unskilled,Excavator,Excavator,14,9,Tiler_skilled;Welder_skilled;ConcreteWorker_skilled
"Item_96 Synthetic entry qty:315.152802 kg vehicles:Crane,Trailer labor:Skilled",Crane;Trailer,Crane;Trailer,25,28,Welder_skilled;Mason_skilled
"Item_97 Synthetic entry qty:384.390245 units vehicles:Crane,Trailer labor:Skilled,Professional",Crane;Trailer,Crane;Trailer,16,50,Welder_skilled;Painter_skilled;Tiler_skilled
Item_98 Synthetic entry qty:65.576519 bag vehicles:Crane labor:Unskilled,Crane,Crane,14,10,Welder_skilled;Tiler_skilled
"Item_99 Synthetic entry qty:289.214441 units vehicles:Crane,Trailer labor:Unskilled,Semi-skilled",Crane;Trailer,Crane;Trailer,15,38,ConcreteWorker_skilled;Labourer_unskilled;Mason_skilled
"Item_100 Synthetic entry qty:69.182764 pieces vehicles:Crane,Trailer labor:Semi-skilled",Crane;Trailer,Crane;Trailer,8,38,Welder_skilled;ConcreteWorker_skilled;Tiler_skilled
"Item_101 Synthetic entry qty:226.679285 bag vehicles:Trailer labor:Skilled,Semi-skilled",Trailer,Trailer,14,40,Mason_skilled;Welder_skilled;Tiler_skilled;ConcreteWorker_skilled
Item_102 Synthetic entry qty:178.132741 units vehicles:None labor:Semi-skilled,,,18,44,ConcreteWorker_skilled;Tiler_skilled;Driver_unskilled
Item_103 Synthetic entry qty:489.351455 bag vehicles:Excavator labor:Semi-skilled,Excavator,Excavator,15,34,Mason_skilled;Painter_skilled;Driver_unskilled
"Item_104 Synthetic entry qty:35.526794 kg vehicles:Large Truck labor:Skilled,Semi-skilled",Large Truck,Large Truck,5,39,Painter_skilled;Labourer_unskilled;ConcreteWorker_skilled
"Item_105 Synthetic entry qty:233.592821 kg vehicles:Large Truck labor:Skilled,Professional",Large Truck,Large Truck,10,42,Labourer_unskilled;Driver_unskilled;Carpenter_skilled;Painter_skilled
Item_106 Synthetic entry qty:310.166409 kg vehicles:Crane labor:Skilled,Crane,Crane,15,31,Labourer_unskilled;Painter_skilled
"Item_107 Synthetic entry qty:406.788357 pieces vehicles:Crane labor:Unskilled,Semi-skilled",Crane,Crane,7,25,Painter_skilled;Mason_skilled;Driver_unskilled;Welder_skilled
"Item_108 Synthetic entry qty:217.475932 kg vehicles:Trailer labor:Unskilled,Semi-skilled",Trailer,Trailer,22,13,Painter_skilled;Tiler_skilled
Item_109 Synthetic entry qty:490.326074 m3 vehicles:Trailer labor:Unskilled,Trailer,Trailer,14,47,Welder_skilled
"Item_110 Synthetic entry qty:442.67144 kg vehicles:Loader,Mixer labor:Skilled",Loader;Mixer,Loader;Mixer,17,19,Carpenter_skilled;Tiler_skilled;Labourer_unskilled;Driver_unskilled
"Item_111 Synthetic entry qty:61.220894 kg vehicles:Loader,Mixer labor:Skilled,Semi-skilled",Loader;Mixer,Loader;Mixer,21,16,Painter_skilled;Welder_skilled;Driver_unskilled
Item_112 Synthetic entry qty:448.261767 pieces vehicles:Excavator labor:Professional,Excavator,Excavator,13,19,Driver_unskilled
Item_113 Synthetic entry qty:243.284834 pieces vehicles:Trailer labor:Skilled,Trailer,Trailer,18,29,ConcreteWorker_skilled
Item_114 Synthetic entry qty:200.170528 pieces vehicles:Large Truck labor:Skilled,Large Truck,Large Truck,8,16,Carpenter_skilled;Labourer_unskilled;Welder_skilled;Painter_skilled
"Item_115 Synthetic entry qty:189.937853 bag vehicles:Loader,Mixer labor:Skilled,Unskilled",Loader;Mixer,Loader;Mixer,16,47,ConcreteWorker_skilled;Carpenter_skilled;Labourer_unskilled;Painter_skilled
"Item_116 Synthetic entry qty:123.074737 pieces vehicles:Crane labor:Unskilled,Semi-skilled",Crane,Crane,10,15,Mason_skilled;ConcreteWorker_skilled;Driver_unskilled;Painter_skilled
"Item_117 Synthetic entry qty:86.481141 kg vehicles:Excavator labor:Skilled,Professional",Excavator,Excavator,10,14,Tiler_skilled
Item_118 Synthetic entry qty:202.20459 bag vehicles:Trailer labor:Semi-skilled,Trailer,Trailer,11,10,ConcreteWorker_skilled
"Item_119 Synthetic entry qty:407.329746 m3 vehicles:Crane,Trailer labor:Professional",Crane;Trailer,Crane;Trailer,9,36,Tiler_skilled;Driver_unskilled;Painter_skilled
"Item_120 Synthetic entry qty:483.623673 pieces vehicles:Crane labor:Skilled,Professional",Crane,Crane,7,11,Welder_skilled;ConcreteWorker_skilled;Mason_skilled
Item_121 Synthetic entry qty:28.040679 m3 vehicles:Crane labor:Skilled,Crane,Crane,12,29,Tiler_skilled;Carpenter_skilled;Painter_skilled;Mason_skilled
"Item_122 Synthetic entry qty:399.065236 kg vehicles:Excavator labor:Unskilled,Semi-skilled",Excavator,Excavator,5,38,Tiler_skilled;Painter_skilled;ConcreteWorker_skilled
"Item_123 Synthetic entry qty:377.662363 pieces vehicles:Crane labor:Unskilled,Semi-skilled",Crane,Crane,15,44,ConcreteWorker_skilled;Painter_skilled;Tiler_skilled;Welder_skilled
"Item_124 Synthetic entry qty:246.661942 bag vehicles:None labor:Skilled,Semi-skilled",,,17,12,Labourer_unskilled
"Item_125 Synthetic entry qty:217.903211 bag vehicles:Crane labor:Skilled,Professional",Crane,Crane,26,17,Welder_skilled;Painter_skilled
Item_126 Synthetic entry qty:116.178687 pieces vehicles:Crane labor:Professional,Crane,Crane,20,42,Mason_skilled;Welder_skilled;ConcreteWorker_skilled
"Item_127 Synthetic entry qty:320.362932 m3 vehicles:Crane,Trailer labor:Semi-skilled",Crane;Trailer,Crane;Trailer,14,22,ConcreteWorker_skilled;Painter_skilled;Driver_unskilled;Tiler_skilled
"Item_128 Synthetic entry qty:120.600139 bag vehicles:Large Truck labor:Skilled,Professional",Large Truck,Large Truck,20,21,Labourer_unskilled;Tiler_skilled;Mason_skilled;Painter_skilled
Item_129 Synthetic entry qty:173.188273 kg vehicles:Large Truck labor:Semi-skilled,Large Truck,Large Truck,24,5,Welder_skilled;Mason_skilled;Driver_unskilled;Carpenter_skilled
"Item_130 Synthetic entry qty:337.874023 m3 vehicles:None labor:Unskilled,Semi-skilled",,,14,49,Carpenter_skilled;Driver_unskilled;ConcreteWorker_skilled;Welder_skilled
"Item_131 Synthetic entry qty:398.297278 bag vehicles:None labor:Unskilled,Semi-skilled",,,16,41,Carpenter_skilled;Welder_skilled
Item_132 Synthetic entry qty:277.034745 bag vehicles:Crane labor:Professional,Crane,Crane,23,25,Mason_skilled
Item_133 Synthetic entry qty:288.888042 kg vehicles:Trailer labor:Unskilled,Trailer,Trailer,21,38,Mason_skilled
"Item_134 Synthetic entry qty:185.631688 units vehicles:Crane labor:Skilled,Semi-skilled",Crane,Crane,16,43,Labourer_unskilled
"Item_135 Synthetic entry qty:497.212395 units vehicles:None labor:Skilled,Semi-skilled",,,9,17,Driver_unskilled;Mason_skilled;ConcreteWorker_skilled;Labourer_unskilled
Item_136 Synthetic entry qty:408.260364 pieces vehicles:None labor:Semi-skilled,,,15,48,Tiler_skilled
"Item_137 Synthetic entry qty:345.906785 kg vehicles:Excavator labor:Skilled,Semi-skilled",Excavator,Excavator,7,49,Painter_skilled
Item_138 Synthetic entry qty:426.833038 units vehicles:None labor:Skilled,,,12,30,Tiler_skilled;Mason_skilled;Painter_skilled;ConcreteWorker_skilled
Item_139 Synthetic entry qty:289.833454 m3 vehicles:None labor:Skilled,,,14,41,Driver_unskilled;Carpenter_skilled
Item_140 Synthetic entry qty:475.388628 bag vehicles:Excavator labor:Skilled,Excavator,Excavator,19,41,Painter_skilled
"Item_141 Synthetic entry qty:21.437033 pieces vehicles:Trailer labor:Skilled,Unskilled",Trailer,Trailer,20,36,ConcreteWorker_skilled;Tiler_skilled;Mason_skilled
Item_142 Synthetic entry qty:482.056027 kg vehicles:Crane labor:Semi-skilled,Crane,Crane,21,19,Labourer_unskilled;Mason_skilled
"Item_143 Synthetic entry qty:143.527553 m3 vehicles:Excavator labor:Unskilled,Semi-skilled",Excavator,Excavator,18,14,Carpenter_skilled;Welder_skilled
"Item_144 Synthetic entry qty:59.766513 bag vehicles:Loader,Mixer labor:Skilled,Professional",Loader;Mixer,Loader;Mixer,14,13,Carpenter_skilled
Item_145 Synthetic entry qty:478.438898 kg vehicles:Excavator labor:Professional,Excavator,Excavator,6,49,Driver_unskilled;Carpenter_skilled;Labourer_unskilled
Item_146 Synthetic entry qty:321.523529 units vehicles:Excavator labor:Unskilled,Excavator,Excavator,18,34,Driver_unskilled;ConcreteWorker_skilled;Labourer_unskilled;Welder_skilled
Item_147 Synthetic entry qty:475.63428 bag vehicles:Large Truck labor:Unskilled,Large Truck,Large Truck,14,35,Mason_skilled;Driver_unskilled
Item_148 Synthetic entry qty:438.320881 bag vehicles:Large Truck labor:Unskilled,Large Truck,Large Truck,17,47,Painter_skilled
Item_149 Synthetic entry qty:293.700332 kg vehicles:Excavator labor:Skilled,Excavator,Excavator,18,10,ConcreteWorker_skilled;Driver_unskilled;Welder_skilled
"Item_150 Synthetic entry qty:235.356177 pieces vehicles:Crane,Trailer labor:Skilled,Professional",Crane;Trailer,Crane;Trailer,15,29,ConcreteWorker_skilled;Tiler_skilled
Item_151 Synthetic entry qty:248.113113 units vehicles:Trailer labor:Semi-skilled,Trailer,Trailer,11,11,Painter_skilled;Welder_skilled
"Item_152 Synthetic entry qty:482.129195 units vehicles:Large Truck labor:Skilled,Professional",Large Truck,Large Truck,5,9,ConcreteWorker_skilled;Driver_unskilled;Labourer_unskilled
Item_153 Synthetic entry qty:192.646538 units vehicles:Trailer labor:Semi-skilled,Trailer,Trailer,10,27,ConcreteWorker_skilled;Driver_unskilled;Labourer_unskilled;Welder_skilled
Item_154 Synthetic entry qty:63.262082 bag vehicles:None labor:Professional,,,18,44,Mason_skilled;Carpenter_skilled;Tiler_skilled
Item_155 Synthetic entry qty:370.192487 m3 vehicles:Trailer labor:Skilled,Trailer,Trailer,10,45,Driver_unskilled;Painter_skilled
"Item_156 Synthetic entry qty:389.159095 units vehicles:Crane,Trailer labor:Skilled,Unskilled",Crane;Trailer,Crane;Trailer,14,46,Tiler_skilled;Carpenter_skilled;Labourer_unskilled
"Item_157 Synthetic entry qty:491.294695 m3 vehicles:Large Truck labor:Skilled,Semi-skilled",Large Truck,Large Truck,22,19,Driver_unskilled;Labourer_unskilled;Tiler_skilled;ConcreteWorker_skilled
"Item_158 Synthetic entry qty:196.817892 pieces vehicles:Loader,Mixer labor:Unskilled",Loader;Mixer,Loader;Mixer,6,48,Welder_skilled;Driver_unskilled
"Item_159 Synthetic entry qty:129.314794 pieces vehicles:Crane labor:Skilled,Semi-skilled",Crane,Crane,17,20,Tiler_skilled;Driver_unskilled;Welder_skilled
"Item_160 Synthetic entry qty:479.149491 pieces vehicles:Crane,Trailer labor:Semi-skilled",Crane;Trailer,Crane;Trailer,9,8,ConcreteWorker_skilled;Tiler_skilled;Driver_unskilled;Mason_skilled
"Item_161 Synthetic entry qty:399.918271 kg vehicles:Excavator labor:Skilled,Semi-skilled",Excavator,Excavator,23,18,Carpenter_skilled;Driver_unskilled;Labourer_unskilled;Painter_skilled
"Item_162 Synthetic entry qty:56.497944 pieces vehicles:Loader,Mixer labor:Skilled,Professional",Loader;Mixer,Loader;Mixer,24,21,Mason_skilled;Labourer_unskilled;ConcreteWorker_skilled
"Item_163 Synthetic entry qty:172.321734 kg vehicles:None labor:Unskilled,Semi-skilled",,,26,38,Mason_skilled
Item_164 Synthetic entry qty:347.515026 kg vehicles:Trailer labor:Professional,Trailer,Trailer,23,46,Carpenter_skilled
"Item_165 Synthetic entry qty:365.382175 bag vehicles:Loader,Mixer labor:Skilled,Professional",Loader;Mixer,Loader;Mixer,13,39,Welder_skilled;Carpenter_skilled;Tiler_skilled;ConcreteWorker_skilled
"Item_166 Synthetic entry qty:19.02391 pieces vehicles:Crane,Trailer labor:Skilled,Semi-skilled",Crane;Trailer,Crane;Trailer,28,20,Labourer_unskilled
Item_167 Synthetic entry qty:371.392176 m3 vehicles:Excavator labor:Professional,Excavator,Excavator,5,27,Driver_unskilled;Painter_skilled
"Item_168 Synthetic entry qty:251.610167 m3 vehicles:Excavator labor:Skilled,Unskilled",Excavator,Excavator,22,18,Driver_unskilled;Labourer_unskilled;Carpenter_skilled;ConcreteWorker_skilled
"Item_169 Synthetic entry qty:77.763388 m3 vehicles:Crane labor:Skilled,Semi-skilled",Crane,Crane,14,16,ConcreteWorker_skilled;Mason_skilled;Labourer_unskilled
"Item_170 Synthetic entry qty:463.74152 bag vehicles:Loader,Mixer labor:Skilled,Unskilled",Loader;Mixer,Loader;Mixer,16,7,Painter_skilled
"Item_171 Synthetic entry qty:288.896962 units vehicles:Excavator labor:Skilled,Professional",Excavator,Excavator,25,19,Tiler_skilled;Painter_skilled;Labourer_unskilled;Mason_skilled
Item_172 Synthetic entry qty:276.327528 bag vehicles:None labor:Professional,,,25,23,Tiler_skilled
"Item_173 Synthetic entry qty:463.354563 pieces vehicles:Excavator labor:Skilled,Semi-skilled",Excavator,Excavator,11,6,Welder_skilled;Driver_unskilled
"Item_174 Synthetic entry qty:294.927801 kg vehicles:Large Truck labor:Skilled,Unskilled",Large Truck,Large Truck,14,13,Mason_skilled
"Item_175 Synthetic entry qty:44.071499 m3 vehicles:None labor:Skilled,Semi-skilled",,,23,24,Carpenter_skilled;Welder_skilled;Mason_skilled;Driver_unskilled
Item_176 Synthetic entry qty:222.435599 bag vehicles:Trailer labor:Professional,Trailer,Trailer,7,47,ConcreteWorker_skilled
"Item_177 Synthetic entry qty:83.910895 m3 vehicles:Excavator labor:Skilled,Unskilled",Excavator,Excavator,14,30,Welder_skilled;Mason_skilled;Driver_unskilled;ConcreteWorker_skilled
"Item_178 Synthetic entry qty:224.362743 kg vehicles:Large Truck labor:Skilled,Unskilled",Large Truck,Large Truck,15,10,Driver_unskilled;Carpenter_skilled;ConcreteWorker_skilled
Item_179 Synthetic entry qty:44.412075 m3 vehicles:None labor:Professional,,,6,37,Carpenter_skilled
Item_180 Synthetic entry qty:211.210831 units vehicles:Crane labor:Unskilled,Crane,Crane,21,7,Mason_skilled;Labourer_unskilled;Driver_unskilled
"Item_181 Synthetic entry qty:160.685876 kg vehicles:None labor:Skilled,Professional",,,18,14,Painter_skilled;ConcreteWorker_skilled;Labourer_unskilled;Tiler_skilled
"Item_182 Synthetic entry qty:350.252068 kg vehicles:Excavator labor:Unskilled,Semi-skilled",Excavator,Excavator,14,5,Mason_skilled;Tiler_skilled;Painter_skilled;Carpenter_skilled
"Item_183 Synthetic entry qty:406.483957 m3 vehicles:Trailer labor:Unskilled,Semi-skilled",Trailer,Trailer,29,34,Driver_unskilled;Labourer_unskilled
"Item_184 Synthetic entry qty:168.080829 m3 vehicles:None labor:Skilled,Semi-skilled",,,11,31,Labourer_unskilled
"Item_185 Synthetic entry qty:92.816837 m3 vehicles:Crane,Trailer labor:Unskilled",Crane;Trailer,Crane;Trailer,13,8,ConcreteWorker_skilled;Labourer_unskilled
"Item_186 Synthetic entry qty:447.45546 kg vehicles:Large Truck labor:Skilled,Professional",Large Truck,Large Truck,11,38,Mason_skilled;Carpenter_skilled
"Item_187 Synthetic entry qty:28.514916 units vehicles:Loader,Mixer labor:Skilled,Unskilled",Loader;Mixer,Loader;Mixer,23,19,Driver_unskilled;Painter_skilled
