terrain,distance_km,material_tons,wall_length_m,wall_height_m,fuel_liters,labor_hours,total_cost,vehicle_count
1,49.55,40.02,40.58,1.29,111.64,504.05,301830,2
0,9.68,35.85,9.99,5.82,78.94,480.32,275472,1
1,40.77,35.57,31.14,1.01,94.06,422.74,263426,2
0,41.34,46.34,20.59,0.46,111.1,479.73,327867,2
1,37.38,49.26,35.81,4.76,122.73,824.48,411459,3
0,43.83,21.95,13.01,3.22,65.45,303.32,170463,1
0,9.4,37.76,9.96,1.75,80.07,405.99,270151,2
1,42.45,40.4,0.04,5.92,106.15,408.19,284297,2
0,29.46,0.71,20.63,0.43,19.79,22.68,8440,1
0,15.72,7.54,1.92,0.09,20.19,67.23,51556,1
0,22.17,41.06,28.51,1.76,96.26,511.16,307997,2
0,32.75,0.78,2.19,0.55,15.82,14.4,7531,1
0,32.89,5.46,43.29,2.37,27.86,256.99,79087,1
0,33.85,31.54,25.94,5.54,81.02,596.58,277709,2
0,21.34,25.69,31.51,5.02,62.73,578.52,244342,1
0,11.41,10.08,14.68,1.94,25.48,148.92,80368,1
1,14.51,47.27,39.88,0.66,103.57,521.62,341713,2
1,8.95,19.06,11.1,4.57,49.55,297.17,155738,1
1,46.03,32.2,26.24,1.29,91.26,391.8,240206,2
0,27.47,7.75,8.26,0.17,31.33,84.86,56374,1
0,27.78,12.9,38.28,2.2,41.03,298.39,124633,1
1,39.2,43.09,38.71,4.51,109.67,778.32,371896,2
0,35.02,13.48,18.56,1.76,47.56,199.92,107751,1
1,10.54,17.09,12.06,4.98,45.19,295.53,145203,1
1,33.58,48.51,17.32,2.34,120.94,560.98,355393,3
1,34.56,12.77,35.46,3.07,47.46,334.76,131009,1
1,34.03,17.71,7.37,0.73,57.02,178.97,125221,1
1,9.52,44.99,12.35,5.5,102.07,582.66,341828,2
0,24.4,9.72,21.32,5.59,37.64,328.32,115074,1
0,23.72,31.41,25.33,0.38,74.88,328.31,223205,1
1,41.25,15.65,7.05,0.27,56.65,158.58,110673,1
0,4.34,5.73,19.69,1.75,17.36,133.66,56351,1
1,49.04,45.49,28.3,2.43,120.37,586.36,345054,3
0,8.99,32.62,47.49,3.21,70.89,634.81,290585,1
0,22.17,7.54,29.91,5.28,27.41,390.69,116512,1
0,17.4,5.23,15.73,5.35,21.81,225.56,71837,1
0,37.07,23.93,30.76,5.53,64.59,579.69,236219,1
0,11.23,31.73,20.2,3.07,65.78,454.3,250435,1
1,13.76,39.16,35.04,0.4,91.9,411.75,278289,2
0,22.52,35.47,49.41,2.01,80.48,554.92,288663,2
0,40.97,36.56,48.86,5.46,93.34,895.87,362377,2
1,20.62,30.18,27.25,5.31,74.83,596.1,270314,1
0,3.49,45.7,14.59,1.18,92.31,488.35,326748,2
0,38.43,33.42,15.87,3.8,85.77,454.07,258385,2
1,32.0,19.14,8.02,5.48,63.28,279.98,151966,1
0,5.5,38.41,33.39,5.19,77.84,730.79,339017,1
1,37.08,26.87,49.27,4.62,72.72,724.16,279799,1
0,12.95,37.08,48.15,0.59,82.77,431.79,271851,2
1,23.2,22.55,0.7,3.7,59.86,225.4,158914,1
1,35.46,10.62,30.53,3.32,42.72,302.97,114569,1
0,23.44,28.39,46.28,1.58,66.79,423.17,227424,1
1,29.09,48.71,48.15,3.08,116.07,784.39,401129,2
1,16.81,3.9,21.79,2.05,22.16,128.44,46276,1
1,41.8,5.36,9.82,4.04,41.24,133.31,53580,1
1,37.69,5.6,33.3,0.12,34.95,59.99,41029,1
1,39.43,13.28,47.25,2.41,49.12,362.41,139320,1
0,38.17,28.85,30.17,3.61,76.28,510.72,246487,1
0,19.86,13.19,17.43,3.75,34.99,255.0,117176,1
0,28.01,22.77,12.95,0.56,65.77,234.8,161376,1
0,39.0,18.07,43.1,2.16,54.28,369.94,165332,1
1,44.28,2.31,25.21,1.92,31.41,126.81,37339,1
0,49.28,17.52,0.99,2.69,58.32,177.25,123680,1
1,35.04,24.61,22.27,1.46,72.7,310.62,185930,1
0,19.62,39.62,32.33,3.59,89.49,628.59,323830,2
1,48.4,10.69,8.8,0.62,50.81,112.79,76165,1
1,6.13,3.01,12.88,3.15,14.49,104.73,36917,1
0,17.34,29.26,13.27,1.39,67.1,325.81,211997,1
0,34.24,19.19,2.13,5.83,56.45,224.58,141440,1
0,2.48,36.69,48.62,0.9,74.06,448.06,273615,1
1,22.24,22.39,8.6,2.16,59.14,252.38,163279,1
1,31.69,11.53,0.27,5.15,44.4,106.03,79095,1
1,44.83,8.33,2.08,3.2,45.45,102.23,62276,1
0,8.4,9.42,19.45,2.22,21.6,185.9,84296,1
0,29.82,0.6,38.76,2.2,18.35,179.92,39685,1
1,18.9,20.53,18.04,5.73,55.49,414.89,186584,1
0,30.41,46.96,25.28,5.54,108.02,755.71,386582,2
0,31.21,17.95,23.4,2.68,50.01,307.82,151638,1
0,13.71,39.57,16.81,4.62,84.63,554.46,309632,2
1,41.15,20.76,10.35,0.95,64.49,228.95,150364,1
0,38.5,18.34,1.54,2.45,59.1,186.47,129090,1
0,49.8,14.54,34.49,2.59,55.88,319.06,136925,1
1,42.22,24.74,21.26,2.42,74.16,352.72,194515,1
1,6.97,31.18,7.96,5.21,70.99,397.31,235480,1
1,39.64,15.75,43.22,3.05,56.82,427.49,164377,1
1,35.09,13.64,18.69,5.18,46.21,321.17,132766,1
0,11.81,39.83,19.35,5.16,85.08,590.99,318169,2
0,38.77,45.07,19.51,4.95,112.91,634.72,352785,2
1,44.74,41.18,23.48,4.31,111.91,620.39,330483,2
1,17.9,39.9,14.51,2.99,88.4,495.86,299018,2
1,40.59,47.34,34.64,2.98,120.49,679.36,373601,3
1,10.92,14.69,43.2,0.62,39.69,203.3,114424,1
1,7.39,17.42,43.66,3.56,44.04,487.04,185565,1
1,29.16,14.25,3.05,3.44,48.57,161.43,103902,1
1,35.96,28.1,31.28,5.1,83.75,597.19,260866,2
0,2.45,36.46,30.37,4.77,76.2,650.09,312552,1
0,21.84,47.48,4.18,5.92,105.88,532.84,344320,2
0,2.98,6.39,41.19,4.86,13.01,467.51,126058,1
1,27.41,45.65,5.56,3.71,110.62,501.89,329296,2
1,8.07,43.88,4.15,0.2,94.28,448.62,309807,2
0,21.17,16.99,5.15,4.35,44.9,210.8,128055,1
0,11.55,42.43,21.76,5.14,93.06,648.43,342264,2
0,48.1,5.18,37.66,2.18,37.35,209.23,68003,1
0,25.44,10.68,2.56,5.43,35.73,137.95,81093,1
0,5.9,16.6,31.08,5.81,39.48,533.03,189916,1
0,5.74,24.06,45.32,1.35,51.03,364.38,193759,1
0,23.92,27.4,11.76,5.21,67.51,405.54,218448,1
0,36.09,5.19,22.54,5.65,24.95,307.92,87729,1
1,33.78,30.17,41.62,2.42,80.43,505.26,252136,2
1,6.39,11.8,45.2,4.09,31.57,487.49,157054,1
0,20.38,14.54,15.75,2.16,43.74,215.94,116657,1
0,29.04,31.29,39.55,4.49,81.81,672.16,291189,2
1,17.25,1.41,27.79,0.64,15.97,57.75,19519,1
1,3.18,17.52,40.22,4.59,43.88,549.6,198512,1
0,43.97,26.34,4.91,3.44,73.33,296.31,191556,1
1,41.57,5.13,9.03,5.18,34.68,143.63,55416,1
1,20.61,2.65,26.5,5.11,21.34,295.43,73143,1
1,4.25,11.49,38.26,0.71,27.37,172.24,92428,1
1,30.82,9.68,1.85,5.97,39.17,116.4,72285,1
0,3.36,15.41,29.15,4.0,29.54,382.17,153824,1
0,42.28,15.01,26.73,1.42,55.73,220.17,119395,1
0,43.27,21.77,14.6,2.28,64.93,269.93,163686,1
0,42.32,15.23,9.75,1.46,52.74,179.72,112311,1
1,39.89,43.37,12.24,3.14,109.06,518.07,321163,2
1,22.56,4.93,8.33,0.72,24.58,60.7,36898,1
1,20.26,1.34,8.14,0.36,14.02,24.05,12433,1
1,2.99,46.23,33.06,3.44,99.8,689.94,369392,2
0,9.05,42.98,16.61,0.84,89.62,465.75,308548,2
0,32.26,13.54,31.01,1.48,46.38,227.85,113722,1
1,15.78,26.35,19.05,4.85,68.45,446.94,221277,1
0,33.04,0.56,19.97,0.55,17.94,26.7,8834,1
1,36.3,11.68,49.36,0.35,49.72,141.61,86991,1
0,31.91,43.03,25.79,3.14,99.84,586.55,333212,2
1,16.76,11.62,29.87,1.91,35.88,226.71,103630,1
0,6.26,38.86,23.9,1.5,81.3,459.52,286743,2
0,42.73,21.57,35.65,4.23,64.94,509.26,210009,1
0,3.68,1.29,38.44,4.01,3.37,324.01,72083,1
1,14.67,16.62,18.72,0.78,44.03,190.55,122153,1
0,49.37,8.31,20.74,3.23,40.86,210.15,83840,1
0,26.47,44.57,3.16,3.94,99.92,460.76,315591,2
1,23.51,3.8,4.98,2.73,22.99,61.67,31623,1
1,43.53,47.91,17.21,1.67,126.0,547.04,349638,3
1,27.76,15.75,40.03,1.13,48.88,241.54,128116,1
0,41.83,22.28,36.17,3.04,67.11,447.42,201620,1
0,46.44,27.84,13.26,3.08,78.35,356.23,210580,1
0,10.45,15.09,10.35,1.77,37.47,188.94,113945,1
0,34.95,33.83,18.35,1.38,85.47,380.43,245748,2
1,28.7,36.22,16.38,3.99,95.8,491.13,279810,2
1,17.14,9.84,35.76,1.42,32.78,199.26,89655,1
0,11.06,8.12,9.21,1.39,23.05,108.52,62709,1
1,31.88,1.48,30.73,4.26,26.17,272.02,62484,1
0,15.61,19.17,30.66,4.82,44.42,493.29,194880,1
0,31.33,2.31,5.06,3.95,21.36,59.71,24250,1
0,38.83,3.5,33.53,2.61,26.83,213.25,60991,1
1,26.44,47.1,7.72,0.03,108.62,474.24,331089,2
1,47.73,9.04,28.32,5.79,45.45,424.21,130872,1
1,34.2,21.05,7.88,5.87,60.45,300.72,165940,1
0,33.15,24.7,23.59,4.33,65.21,446.91,213373,1
0,32.95,10.61,46.06,2.51,35.98,343.1,122466,1
1,44.54,3.31,32.39,1.26,35.84,120.28,40998,1
0,9.68,0.31,27.93,4.38,3.49,238.33,50189,1
1,40.52,24.19,9.06,4.95,75.31,328.25,187009,1
1,3.34,45.59,2.32,2.54,98.71,467.25,322491,2
1,24.02,10.57,13.37,0.11,37.54,108.89,74747,1
1,47.57,21.94,49.48,0.95,73.24,310.01,172026,1
0,4.01,22.51,16.6,3.88,49.74,356.69,183937,1
0,32.22,47.75,20.08,4.62,112.11,657.34,371037,2
0,28.23,4.09,36.25,3.77,25.51,302.78,81873,1
0,28.5,48.01,26.18,0.95,109.71,531.68,346810,2
1,25.92,26.54,5.54,5.74,74.81,337.9,200570,1
0,21.02,27.99,28.27,5.59,66.38,582.23,257356,1
1,12.56,0.94,46.86,0.13,13.65,17.3,8905,1
0,14.95,23.39,48.73,0.64,54.42,300.23,177785,1
0,44.77,27.27,18.52,5.52,76.72,481.9,232794,1
1,15.28,49.66,18.12,5.21,114.28,685.67,385759,2
0,4.71,17.43,33.06,0.97,36.27,235.67,134850,1
0,15.03,35.31,38.08,2.27,77.16,523.5,281856,1
0,48.18,25.32,45.68,5.81,76.19,781.13,283714,1
1,17.73,48.09,41.52,3.71,110.35,788.17,399102,2
1,37.86,32.39,5.34,2.33,87.96,350.68,233095,2
1,46.83,47.69,35.36,5.31,123.04,844.96,407735,3
0,4.35,18.9,10.37,1.16,37.94,221.42,139170,1
0,45.39,5.28,30.25,3.71,32.46,279.5,82772,1
1,17.64,46.72,14.46,1.93,106.83,507.73,335939,2
0,33.49,7.06,27.02,3.78,30.66,276.0,91409,1
0,35.11,16.34,10.17,4.27,49.56,256.95,133186,1
1,43.77,48.76,43.7,3.67,126.67,808.95,405933,3
0,11.03,45.77,48.18,5.46,97.67,988.39,426832,2
1,42.66,0.58,30.86,2.07,24.74,137.88,31019,1
0,33.34,23.84,26.84,3.87,64.78,446.23,208922,1
1,35.66,47.55,26.32,4.04,118.73,687.07,375394,2
1,29.18,45.74,28.63,0.03,111.4,458.15,320652,2
0,30.16,23.16,8.91,1.15,60.79,252.04,166729,1
1,44.16,19.48,41.93,4.51,66.75,568.82,211888,1
0,38.25,28.81,32.61,3.94,72.85,548.4,254003,1
1,12.04,39.73,2.33,4.4,92.15,416.23,282493,2
0,30.7,1.25,31.38,1.2,16.2,85.97,23642,1
0,39.49,26.72,35.05,2.62,77.1,445.61,223439,1
1,19.79,3.23,46.63,4.93,23.5,499.38,117096,1
1,40.61,24.54,5.22,2.53,74.85,267.18,177098,1
1,18.43,48.52,20.57,1.57,111.83,555.13,353945,2
0,16.52,18.82,46.11,1.22,44.55,302.42,155250,1
1,16.59,0.94,31.75,0.45,14.9,39.98,12959,1
0,29.23,38.72,21.73,1.95,96.56,463.73,286592,2
1,1.34,6.66,32.06,0.4,18.22,97.31,53136,1
0,26.23,27.2,7.02,5.09,66.81,339.26,203991,1
0,38.92,20.23,35.41,2.1,57.86,351.61,172080,1
1,11.26,38.25,32.62,4.88,85.3,701.14,332388,2
1,17.81,2.54,24.72,3.85,18.29,216.44,56183,1
1,32.83,14.85,21.82,2.05,49.88,233.41,121146,1
1,34.26,48.68,20.62,0.2,116.74,493.2,342502,2
0,47.58,23.57,25.2,2.55,70.65,362.62,190686,1
0,30.65,43.79,34.26,3.03,103.4,646.64,348604,2
1,3.5,34.3,38.64,3.05,78.24,579.53,288325,1
1,13.26,13.69,36.73,5.49,39.21,543.13,178123,1
0,47.14,37.0,49.08,5.96,97.33,959.6,377863,2
1,8.3,39.44,9.68,1.23,87.0,415.97,280884,2
0,24.82,15.14,3.98,4.46,43.03,179.04,111731,1
0,3.67,4.45,22.51,1.87,9.72,131.17,49056,1
1,27.02,30.48,45.31,1.95,78.69,483.07,249906,1
0,31.43,30.53,29.32,2.31,75.85,443.94,241590,1
0,40.7,3.9,4.67,0.27,29.28,39.42,27901,1
1,36.69,28.0,47.54,4.45,78.23,694.71,279765,1
1,2.22,10.21,40.2,0.12,25.17,106.0,72922,1
0,6.16,4.11,49.49,2.49,10.82,290.82,79186,1
0,31.92,44.79,29.18,1.72,102.13,546.03,333528,2
0,41.91,36.17,17.03,2.08,94.23,435.8,268074,2
1,9.86,41.35,49.8,5.32,91.88,941.2,395696,2
0,34.12,46.46,34.31,0.97,113.51,533.31,339322,2
1,21.95,11.41,5.63,2.47,38.65,133.96,84560,1
0,48.41,30.12,29.65,5.78,86.89,645.13,279747,2
1,43.48,45.65,30.69,2.23,120.27,589.79,346493,3
1,33.48,9.19,41.13,1.34,41.45,195.95,86102,1
0,19.26,17.0,44.05,1.23,40.79,282.48,142085,1
1,22.1,23.95,7.98,0.31,64.78,249.91,169833,1
0,6.12,26.02,34.04,0.67,56.63,309.47,192535,1
0,8.9,8.11,21.05,2.01,20.86,158.23,72257,1
0,6.38,26.3,5.21,3.37,55.25,291.31,189771,1
0,13.47,22.95,26.23,5.86,51.57,543.74,224356,1
0,16.78,38.14,46.83,3.82,86.98,749.13,341209,2
0,12.69,37.27,45.88,2.85,82.06,635.39,314238,2
0,14.8,41.16,21.42,0.9,91.17,447.92,296065,2
0,1.97,22.55,21.86,2.84,45.63,357.05,184891,1
1,25.09,16.63,42.4,3.94,52.36,494.95,182721,1
1,10.58,43.51,25.19,1.51,98.7,512.1,320839,2
1,39.68,25.37,37.64,5.68,74.67,683.83,264674,1
0,16.48,31.27,5.26,0.53,71.63,311.87,218832,1
1,14.39,10.06,9.34,2.71,33.16,161.96,82887,1
0,34.92,40.37,41.69,1.11,97.31,488.66,300025,2
1,48.51,6.75,5.43,1.46,43.91,81.5,50408,1
0,43.42,40.81,27.21,3.0,104.65,564.27,316989,2
0,38.2,40.92,25.25,1.33,98.7,478.08,301061,2
1,6.03,18.19,27.23,0.01,42.8,177.31,126642,1
0,35.13,46.18,35.94,3.27,112.94,688.49,369546,2
1,12.09,25.03,31.93,0.3,58.77,272.98,180706,1
1,3.06,16.13,15.77,0.98,35.98,205.94,122440,1
0,28.29,44.58,47.37,5.41,103.87,946.4,412494,2
0,12.04,0.94,5.77,4.27,5.38,60.89,17841,1
1,1.35,30.69,13.51,0.55,63.48,315.78,217611,1
0,8.32,2.83,12.84,4.38,13.11,136.49,41677,1
0,39.56,31.48,15.64,3.63,83.29,422.94,242532,2
1,36.69,20.27,42.77,0.16,61.56,223.78,146380,1
1,10.32,2.73,1.46,5.32,15.94,36.62,21939,1
1,8.43,49.26,36.1,4.91,107.72,848.08,416643,2
0,37.75,46.41,7.45,1.34,108.91,478.08,327970,2
1,25.59,38.69,25.64,1.32,94.84,464.21,286982,2
1,48.94,39.76,12.76,4.21,107.18,513.0,301799,2
1,44.11,24.31,34.99,2.5,76.9,417.59,206011,1
0,14.44,18.64,47.26,3.15,42.61,477.96,189736,1
1,11.31,27.14,42.47,0.57,65.41,325.39,201826,1
0,41.79,1.21,46.69,4.08,22.86,389.62,84541,1
1,32.84,16.1,4.75,2.9,53.21,183.04,118205,1
0,16.17,32.82,47.67,2.84,72.97,597.17,284086,1
0,49.02,2.57,28.33,5.77,31.05,351.83,83251,1
1,6.38,16.91,20.81,0.86,41.23,206.64,126139,1
0,2.86,23.12,32.89,0.68,46.95,271.84,170579,1
0,36.87,14.94,48.02,3.14,48.26,453.02,165420,1
1,37.63,43.57,15.29,0.62,111.5,459.21,310694,2
0,19.28,16.7,15.5,5.18,38.77,326.64,149518,1
1,13.57,19.43,4.21,0.35,53.04,194.39,136969,1
0,12.16,28.06,26.97,0.77,64.03,311.18,203479,1
0,8.86,24.37,1.88,3.94,51.75,256.07,173631,1
0,34.25,46.88,34.04,0.72,111.24,521.24,338806,2
1,26.28,15.37,14.75,2.06,50.39,218.75,121609,1
0,26.09,38.16,19.46,5.95,88.37,616.67,314827,2
0,35.27,18.9,20.45,1.27,54.28,238.4,142714,1
0,33.25,28.87,2.35,3.73,74.8,305.77,206115,1
1,44.74,3.54,1.59,1.99,36.12,42.32,26665,1
0,19.58,36.89,37.56,4.16,84.4,678.24,320987,2
1,41.35,19.3,41.2,3.21,63.97,448.38,186375,1
1,23.18,42.24,6.83,1.82,98.23,445.69,300787,2
1,46.64,16.84,3.38,2.18,63.12,183.39,121658,1
1,14.55,6.44,45.61,0.97,23.88,157.84,64751,1
0,29.91,48.94,25.72,1.17,110.91,549.93,355090,2
1,25.28,41.09,27.32,4.22,100.76,640.54,334403,2
1,39.77,31.09,36.62,1.9,88.0,451.7,246744,2
0,25.25,9.08,22.99,3.16,30.33,236.24,92839,1
0,30.41,17.09,38.82,1.86,50.0,309.05,147590,1
0,15.82,20.31,3.69,4.68,51.02,234.13,148979,1
1,39.48,4.8,37.34,4.12,35.81,360.98,97118,1
0,2.2,28.03,32.92,2.56,56.71,453.11,230832,1
0,14.38,49.77,16.51,4.73,106.35,655.72,380034,2
1,43.13,41.62,37.28,5.28,108.69,818.03,372710,2
0,33.09,39.99,44.76,1.29,97.26,522.05,305262,2
1,41.03,40.86,7.77,1.58,110.19,430.0,291141,2
1,42.36,33.98,14.65,5.3,91.78,505.65,271793,2
0,31.83,0.97,37.89,4.82,16.31,376.97,81222,1
0,12.33,6.52,15.55,0.28,21.3,72.65,47280,1
1,5.2,42.49,11.89,5.82,90.58,564.67,326481,2
1,28.27,2.3,44.62,1.65,22.83,171.87,46209,1
1,43.3,43.69,47.88,4.56,116.87,871.4,393588,2
0,46.36,47.14,48.93,0.02,113.08,466.9,329744,2
0,10.41,7.78,16.81,3.17,19.15,186.99,76388,1
1,32.55,19.47,25.54,0.31,61.88,210.41,140259,1
0,40.3,8.57,18.67,2.12,38.67,171.3,77882,1
0,32.87,36.86,4.67,2.49,84.9,392.03,263170,2
0,38.38,35.76,47.34,0.56,89.36,411.03,261342,2
0,5.2,26.17,40.19,1.56,52.02,390.78,209407,1
0,36.91,49.95,46.36,1.8,116.54,662.73,382610,2
0,43.48,24.73,6.39,3.96,71.56,301.38,184569,1
0,46.55,9.61,14.76,1.77,44.85,139.53,76445,1
1,11.47,33.93,0.22,1.3,78.5,335.59,237090,1
0,28.31,44.39,27.04,1.28,102.65,515.66,325420,2
0,7.34,3.43,5.5,4.34,11.96,85.35,35191,1
1,2.49,5.21,30.36,3.65,13.32,270.26,80370,1
0,29.06,13.29,14.54,3.57,41.78,234.03,114121,1
1,45.25,5.35,5.97,0.87,39.84,69.52,41058,1
0,6.82,12.97,24.27,4.84,30.06,374.86,140441,1
1,45.11,15.2,22.21,3.57,56.13,313.1,138925,1
0,37.35,40.7,32.57,3.38,102.97,620.4,327600,2
0,2.01,20.41,10.05,1.23,41.26,229.42,148675,1
1,22.21,15.38,19.47,3.65,46.4,302.41,138125,1
0,1.81,8.73,15.88,3.65,14.63,201.45,84940,1
0,20.65,17.92,33.93,2.3,44.95,330.65,156311,1
1,28.94,41.54,30.07,0.66,103.11,457.81,300035,2
1,13.62,32.76,4.04,1.87,76.62,347.75,233452,1
1,11.03,42.71,39.6,0.08,94.05,429.7,299689,2
1,37.34,18.18,19.11,2.2,57.09,259.92,143846,1
0,16.32,44.89,2.93,3.74,96.41,458.93,316663,2
0,21.32,31.42,17.01,5.81,72.85,514.16,260279,1
0,13.47,49.93,44.41,4.4,106.35,894.13,428631,2
1,29.65,11.11,5.23,5.41,41.71,174.65,90712,1
1,46.61,47.34,2.36,1.43,121.52,486.5,334219,3
1,32.23,13.75,47.04,1.3,48.14,261.86,121724,1
1,15.95,39.75,18.17,3.48,93.84,531.89,305356,2
1,14.34,42.25,29.6,5.15,100.65,714.93,354506,2
1,21.32,44.03,18.69,5.51,106.49,639.87,348561,2
0,13.7,5.01,38.97,2.4,16.0,237.65,72650,1
0,9.1,9.55,18.01,1.59,23.81,153.24,79376,1
1,22.77,33.1,28.28,4.21,83.97,566.29,279530,2
0,29.36,8.26,22.01,5.33,32.76,320.91,106199,1
1,38.6,1.86,33.62,2.62,27.59,201.38,50165,1
1,5.22,43.44,17.67,5.69,95.26,631.63,344110,2
1,16.35,46.34,4.15,0.64,107.19,470.44,326322,2
1,4.35,29.57,41.91,0.14,65.25,306.73,210110,1
1,42.34,34.18,8.33,4.13,95.79,415.39,254251,2
0,18.91,22.83,47.57,0.91,55.79,304.92,175251,1
1,16.28,13.79,8.7,4.0,41.89,205.75,110683,1
0,14.21,38.88,20.0,0.67,83.13,420.23,278741,2
1,4.9,34.88,14.47,0.12,77.55,350.02,244847,1
1,8.0,49.24,5.15,4.75,108.8,536.78,353970,2
0,22.0,38.37,12.97,2.53,88.39,445.33,281739,2
1,22.41,35.21,8.96,2.73,88.34,405.83,257448,2
1,47.19,46.14,13.85,1.9,127.44,514.47,334284,3
1,26.97,2.34,30.13,2.92,24.14,197.51,52002,1
0,12.35,15.76,9.0,0.22,38.94,162.63,111423,1
0,44.34,24.81,15.33,3.03,71.19,334.09,191031,1
0,45.05,25.17,34.72,3.49,73.86,498.3,226497,1
0,26.97,30.93,21.36,4.28,77.26,490.33,253568,1
0,9.45,41.08,8.47,5.66,87.99,511.03,308452,2
1,32.39,21.18,20.86,1.24,61.82,266.39,159998,1
0,36.47,4.38,34.25,3.55,25.25,286.24,79943,1
1,49.18,31.73,28.72,5.38,93.36,616.29,282550,2
0,3.99,3.46,14.78,1.11,8.7,71.11,31611,1
0,47.15,9.58,15.17,1.54,37.95,141.74,76267,1
0,33.66,4.3,6.55,4.64,25.29,92.86,40431,1
0,11.14,47.74,23.66,3.4,104.1,643.19,367566,2
1,43.89,22.94,18.73,0.84,71.4,270.66,169613,1
0,45.12,10.94,41.26,2.72,46.78,339.79,123053,1
0,28.45,0.26,12.37,3.47,15.79,88.96,19629,1
0,11.8,35.24,44.63,0.99,75.85,442.16,265594,1
0,35.91,7.28,11.63,3.68,32.16,161.19,69493,1
1,15.55,44.02,18.71,5.61,100.87,653.45,351562,2
0,20.84,14.16,45.61,5.39,39.03,634.55,198390,1
1,45.01,30.28,46.67,0.21,88.95,327.74,217709,2
0,35.58,28.12,10.45,2.76,71.85,341.71,209725,1
0,41.36,24.17,30.78,4.88,68.42,535.53,228368,1
0,4.04,41.61,10.12,3.42,85.28,485.74,305610,2
0,13.77,2.63,38.54,2.9,13.17,250.74,64017,1
0,49.28,46.9,48.08,2.74,117.99,730.72,381246,2
0,5.05,20.75,13.58,0.69,44.38,235.18,151354,1
1,27.83,11.61,41.28,2.91,43.22,351.72,128495,1
0,12.11,30.48,8.34,2.91,65.39,350.46,222521,1
0,4.81,5.03,29.87,0.43,11.22,78.49,41616,1
1,26.61,37.14,41.26,4.07,90.79,701.46,326440,2
1,1.96,3.1,43.18,2.42,14.76,240.21,64570,1
0,12.97,36.94,9.27,4.92,77.6,454.52,276307,1
1,41.74,6.96,13.51,1.12,40.8,102.35,55455,1
1,23.01,17.33,0.44,1.17,50.99,172.91,121350,1
1,42.97,45.76,1.85,1.56,116.34,468.5,323242,2
1,14.25,20.14,18.81,5.03,53.94,400.89,181655,1
1,42.56,43.59,2.36,1.67,117.39,435.1,305230,2
1,44.25,15.26,19.16,5.07,60.58,342.06,145753,1
1,9.49,42.43,44.17,1.83,94.41,585.12,330222,2
1,6.35,18.41,17.18,3.11,46.74,284.49,149663,1
0,36.35,43.64,11.88,0.11,107.04,445.82,308128,2
0,31.49,17.26,48.69,4.87,48.87,652.01,217595,1
1,17.2,21.84,14.64,1.4,56.36,258.86,161357,1
0,17.74,23.02,43.3,5.36,52.47,692.86,253757,1
1,11.43,6.0,16.27,0.1,22.65,63.25,43118,1
1,6.0,12.23,33.21,1.59,36.2,228.25,107451,1
1,43.48,45.99,47.02,4.62,114.86,886.57,407761,2
0,23.57,33.58,41.56,1.75,79.27,482.1,264553,1
1,38.22,3.32,4.64,1.86,29.11,57.12,28563,1
0,6.52,5.21,39.16,5.67,15.49,494.62,125054,1
0,33.21,39.14,49.51,1.65,96.12,553.61,306619,2
1,40.0,4.04,45.06,5.42,32.16,521.47,125085,1
0,4.47,17.36,38.04,3.53,36.53,445.05,176025,1
0,27.17,35.03,47.21,4.68,82.87,785.38,332579,2
0,20.7,7.05,18.36,4.75,22.11,244.62,84387,1
1,18.76,37.49,20.86,1.05,93.86,415.73,271577,2
1,13.94,2.12,30.04,4.36,17.23,274.16,66475,1
1,42.66,41.2,28.58,3.82,107.71,630.57,333100,2
0,19.13,44.45,17.22,3.58,99.3,563.84,335142,2
1,5.47,45.45,19.97,0.62,98.2,481.81,324111,2
1,46.63,12.74,45.04,3.38,55.53,435.5,151221,1
0,13.48,22.2,21.4,1.22,48.96,273.46,166188,1
0,24.19,27.95,46.42,5.96,66.17,829.07,306281,1
0,11.3,3.37,42.15,2.27,10.44,228.73,62632,1
1,8.04,13.18,35.11,3.5,37.58,376.75,142184,1
0,30.1,17.63,30.69,5.34,50.77,511.12,190787,1
1,7.7,26.09,30.36,3.16,59.48,455.68,222026,1
1,28.57,42.51,48.6,1.91,100.53,613.43,335464,2
1,24.72,8.91,10.71,1.04,37.33,115.96,68562,1
1,7.28,41.52,25.79,3.51,90.35,595.01,327272,2
1,24.02,44.87,47.05,5.9,105.12,1003.13,425172,2
0,25.09,21.39,44.5,1.51,57.75,349.94,177906,1
1,38.03,29.03,16.82,4.12,79.85,431.81,232248,1
0,43.89,3.69,11.41,1.3,27.51,60.98,31317,1
0,27.62,11.48,25.67,0.14,35.93,124.34,82679,1
1,3.95,33.54,34.47,4.84,73.21,667.62,301473,1
1,49.23,34.82,33.12,2.92,97.51,550.34,285230,2
0,13.24,17.26,15.92,5.91,38.21,356.99,158039,1
1,42.43,27.19,20.38,2.66,83.27,383.98,213238,2
0,2.23,34.76,38.29,1.33,75.8,450.32,264693,1
1,31.19,0.13,3.08,3.6,20.96,27.95,7234,1
1,39.54,25.82,43.84,3.49,75.38,577.62,244784,1
0,47.73,43.68,16.7,0.46,109.89,450.04,308556,2
1,39.48,29.08,32.21,3.56,81.22,521.88,250640,2
1,34.66,23.2,5.84,0.03,68.66,234.8,163135,1
